ticket_id,jira_status,jira_id,reason,total_attachments,successful_attachments,failed_attachments,attachment_type,created_at,updated_at
118,success,FTJM-47637,,0,0,0,none,2025-08-25T23:17:39.627001,2025-08-25T23:17:39.627001
120,success,FTJM-47638,,0,0,0,none,2025-08-25T23:17:40.037044,2025-08-25T23:17:40.037044
121,success,FTJM-47639,,0,0,0,none,2025-08-25T23:17:40.543128,2025-08-25T23:17:40.543128
122,success,FTJM-47640,,0,0,0,none,2025-08-25T23:17:41.081602,2025-08-25T23:17:41.081602
123,success,FTJM-47641,,0,0,0,none,2025-08-25T23:17:41.476408,2025-08-25T23:17:41.476408
124,success,FTJM-47642,,0,0,0,none,2025-08-25T23:17:42.426996,2025-08-25T23:17:42.426996
126,success,FTJM-47643,,0,0,0,none,2025-08-25T23:17:42.888362,2025-08-25T23:17:42.888362
128,success,FTJM-47644,,0,0,0,none,2025-08-25T23:17:43.202126,2025-08-25T23:17:43.202126
129,success,FTJM-47645,,1,1,0,attachment,2025-08-25T23:17:45.439509,2025-08-25T23:17:45.439509
134,success,FTJM-47649,,0,0,0,none,2025-08-25T23:17:45.605678,2025-08-25T23:17:45.605678
132,success,FTJM-47647,,1,1,0,conversation,2025-08-25T23:17:45.682783,2025-08-25T23:17:45.682783
137,success,FTJM-47651,,0,0,0,none,2025-08-25T23:17:46.786510,2025-08-25T23:17:46.786510
131,success,FTJM-47646,,5,5,0,attachment,2025-08-25T23:17:47.799341,2025-08-25T23:17:47.799341
133,success,FTJM-47648,,3,3,0,mixed,2025-08-25T23:17:48.049571,2025-08-25T23:17:48.049571
135,success,FTJM-47650,,2,2,0,attachment,2025-08-25T23:17:48.382393,2025-08-25T23:17:48.382393
141,success,FTJM-47654,,0,0,0,none,2025-08-25T23:17:48.536869,2025-08-25T23:17:48.536869
143,success,FTJM-47655,,0,0,0,none,2025-08-25T23:17:48.781929,2025-08-25T23:17:48.781929
139,success,FTJM-47652,,2,2,0,attachment,2025-08-25T23:17:48.935584,2025-08-25T23:17:48.935584
140,success,FTJM-47653,,2,2,0,attachment,2025-08-25T23:17:49.627950,2025-08-25T23:17:49.627950
145,success,FTJM-47656,,1,1,0,attachment,2025-08-25T23:17:50.091737,2025-08-25T23:17:50.091737
149,success,FTJM-47659,,0,0,0,none,2025-08-25T23:17:50.806277,2025-08-25T23:17:50.806277
147,success,FTJM-47657,,1,1,0,conversation,2025-08-25T23:17:51.018460,2025-08-25T23:17:51.018460
152,success,FTJM-47661,,0,0,0,none,2025-08-25T23:17:51.987381,2025-08-25T23:17:51.987381
150,success,FTJM-47660,,0,0,0,none,2025-08-25T23:17:52.201519,2025-08-25T23:17:52.201519
155,success,FTJM-47663,,0,0,0,none,2025-08-25T23:17:53.361793,2025-08-25T23:17:53.361793
156,success,FTJM-47664,,0,0,0,none,2025-08-25T23:17:53.682360,2025-08-25T23:17:53.682360
148,success,FTJM-47658,,1,1,0,attachment,2025-08-25T23:17:54.095261,2025-08-25T23:17:54.095261
153,success,FTJM-47662,,1,1,0,attachment,2025-08-25T23:17:54.208577,2025-08-25T23:17:54.208577
158,success,FTJM-47666,,0,0,0,none,2025-08-25T23:17:54.224477,2025-08-25T23:17:54.224477
159,success,FTJM-47667,,0,0,0,none,2025-08-25T23:17:55.006794,2025-08-25T23:17:55.006794
161,success,FTJM-47668,,0,0,0,none,2025-08-25T23:17:55.208254,2025-08-25T23:17:55.208254
157,success,FTJM-47665,,1,1,0,attachment,2025-08-25T23:17:55.860516,2025-08-25T23:17:55.860516
168,success,FTJM-47671,,0,0,0,none,2025-08-25T23:17:57.243091,2025-08-25T23:17:57.243091
169,success,FTJM-47672,,0,0,0,none,2025-08-25T23:17:57.531395,2025-08-25T23:17:57.531395
170,success,FTJM-47673,,0,0,0,none,2025-08-25T23:17:57.964280,2025-08-25T23:17:57.964280
171,success,FTJM-47674,,0,0,0,none,2025-08-25T23:17:59.031163,2025-08-25T23:17:59.031163
172,success,FTJM-47675,,0,0,0,none,2025-08-25T23:17:59.402879,2025-08-25T23:17:59.402879
164,success,FTJM-47669,,7,7,0,attachment,2025-08-25T23:18:00.067220,2025-08-25T23:18:00.067220
174,success,FTJM-47677,,0,0,0,none,2025-08-25T23:18:00.457385,2025-08-25T23:18:00.457385
175,success,FTJM-47678,,0,0,0,none,2025-08-25T23:18:00.551187,2025-08-25T23:18:00.551187
176,success,FTJM-47679,,0,0,0,none,2025-08-25T23:18:01.169978,2025-08-25T23:18:01.169978
177,success,FTJM-47680,,0,0,0,none,2025-08-25T23:18:01.252581,2025-08-25T23:18:01.252581
173,success,FTJM-47676,,1,1,0,attachment,2025-08-25T23:18:01.639287,2025-08-25T23:18:01.639287
178,success,FTJM-47681,,0,0,0,none,2025-08-25T23:18:01.808286,2025-08-25T23:18:01.808286
